learning_rate,batch_size,sampling,optimizer,train_epochs,pretrained_weights,dense_layers,max_val_acc,min_val_loss,test_acc,test_loss,plot
0.005,64,class_weight,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.19325217604637146,0.9239130616188049,0.2909635007381439,"<a href=""imgs/33.jpg"" data-lightbox=""train""><img src=""imgs/33.jpg"" width=""75px""></a>"
0.005,64,class_weight,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9233871102333069,0.17665375769138336,0.9021739363670349,0.23886838555335999,"<a href=""imgs/34.jpg"" data-lightbox=""train""><img src=""imgs/34.jpg"" width=""75px""></a>"
0.005,64,class_weight,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9233871102333069,0.19049261510372162,0.9130434989929199,0.23003904521465302,"<a href=""imgs/35.jpg"" data-lightbox=""train""><img src=""imgs/35.jpg"" width=""75px""></a>"
0.005,64,class_weight,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9274193644523621,0.19748951494693756,0.9166666865348816,0.29653531312942505,"<a href=""imgs/36.jpg"" data-lightbox=""train""><img src=""imgs/36.jpg"" width=""75px""></a>"
0.005,128,oversample,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9314516186714172,0.18431244790554047,0.9166666865348816,0.2286318987607956,"<a href=""imgs/37.jpg"" data-lightbox=""train""><img src=""imgs/37.jpg"" width=""75px""></a>"
0.005,128,oversample,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9314516186714172,0.1771678924560547,0.9239130616188049,0.23193618655204773,"<a href=""imgs/38.jpg"" data-lightbox=""train""><img src=""imgs/38.jpg"" width=""75px""></a>"
0.005,128,oversample,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9314516186714172,0.19807153940200806,0.9347826242446899,0.24995101988315582,"<a href=""imgs/39.jpg"" data-lightbox=""train""><img src=""imgs/39.jpg"" width=""75px""></a>"
0.005,128,oversample,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9274193644523621,0.2079731822013855,0.9130434989929199,0.25370344519615173,"<a href=""imgs/40.jpg"" data-lightbox=""train""><img src=""imgs/40.jpg"" width=""75px""></a>"
0.005,128,oversample,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9314516186714172,0.17854595184326172,0.9347826242446899,0.19589728116989136,"<a href=""imgs/41.jpg"" data-lightbox=""train""><img src=""imgs/41.jpg"" width=""75px""></a>"
0.005,128,oversample,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9274193644523621,0.19367821514606476,0.9275362491607666,0.25173434615135193,"<a href=""imgs/42.jpg"" data-lightbox=""train""><img src=""imgs/42.jpg"" width=""75px""></a>"
0.005,128,oversample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9354838728904724,0.1794329285621643,0.9384058117866516,0.1967388242483139,"<a href=""imgs/43.jpg"" data-lightbox=""train""><img src=""imgs/43.jpg"" width=""75px""></a>"
0.005,128,oversample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9375,0.17069143056869507,0.9021739363670349,0.2499641478061676,"<a href=""imgs/44.jpg"" data-lightbox=""train""><img src=""imgs/44.jpg"" width=""75px""></a>"
0.005,128,oversample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9294354915618896,0.20779378712177277,0.9130434989929199,0.26661092042922974,"<a href=""imgs/45.jpg"" data-lightbox=""train""><img src=""imgs/45.jpg"" width=""75px""></a>"
0.005,128,oversample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9294354915618896,0.17922677099704742,0.9130434989929199,0.21011893451213837,"<a href=""imgs/46.jpg"" data-lightbox=""train""><img src=""imgs/46.jpg"" width=""75px""></a>"
0.005,128,oversample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9354838728904724,0.17108860611915588,0.9202898740768433,0.20820610225200653,"<a href=""imgs/47.jpg"" data-lightbox=""train""><img src=""imgs/47.jpg"" width=""75px""></a>"
0.005,128,oversample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9274193644523621,0.21713820099830627,0.8695651888847351,0.3088594079017639,"<a href=""imgs/48.jpg"" data-lightbox=""train""><img src=""imgs/48.jpg"" width=""75px""></a>"
0.005,128,subsample,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.19430005550384521,0.9057971239089966,0.23685148358345032,"<a href=""imgs/49.jpg"" data-lightbox=""train""><img src=""imgs/49.jpg"" width=""75px""></a>"
0.005,128,subsample,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9354838728904724,0.18174223601818085,0.9094203114509583,0.23996679484844208,"<a href=""imgs/50.jpg"" data-lightbox=""train""><img src=""imgs/50.jpg"" width=""75px""></a>"
0.005,128,subsample,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9012096524238586,0.23459795117378235,0.8949275612831116,0.31572771072387695,"<a href=""imgs/51.jpg"" data-lightbox=""train""><img src=""imgs/51.jpg"" width=""75px""></a>"
0.005,128,subsample,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9213709831237793,0.19991305470466614,0.9275362491607666,0.21667622029781342,"<a href=""imgs/52.jpg"" data-lightbox=""train""><img src=""imgs/52.jpg"" width=""75px""></a>"
0.005,128,subsample,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9354838728904724,0.16450214385986328,0.8876811861991882,0.23729318380355835,"<a href=""imgs/53.jpg"" data-lightbox=""train""><img src=""imgs/53.jpg"" width=""75px""></a>"
0.005,128,subsample,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.913306474685669,0.20762620866298676,0.8804348111152649,0.28918054699897766,"<a href=""imgs/54.jpg"" data-lightbox=""train""><img src=""imgs/54.jpg"" width=""75px""></a>"
0.005,128,subsample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9314516186714172,0.19029834866523743,0.9166666865348816,0.21995258331298828,"<a href=""imgs/55.jpg"" data-lightbox=""train""><img src=""imgs/55.jpg"" width=""75px""></a>"
0.005,128,subsample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9334677457809448,0.1779557764530182,0.9239130616188049,0.2372342050075531,"<a href=""imgs/56.jpg"" data-lightbox=""train""><img src=""imgs/56.jpg"" width=""75px""></a>"
0.005,128,subsample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9193548560142517,0.21872369945049286,0.9094203114509583,0.23189760744571686,"<a href=""imgs/57.jpg"" data-lightbox=""train""><img src=""imgs/57.jpg"" width=""75px""></a>"
0.005,128,subsample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9233871102333069,0.19363556802272797,0.9347826242446899,0.222330242395401,"<a href=""imgs/58.jpg"" data-lightbox=""train""><img src=""imgs/58.jpg"" width=""75px""></a>"
0.005,128,subsample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9334677457809448,0.17798437178134918,0.9239130616188049,0.19477714598178864,"<a href=""imgs/59.jpg"" data-lightbox=""train""><img src=""imgs/59.jpg"" width=""75px""></a>"
0.005,128,subsample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9193548560142517,0.217061385512352,0.8731883764266968,0.2680451571941376,"<a href=""imgs/60.jpg"" data-lightbox=""train""><img src=""imgs/60.jpg"" width=""75px""></a>"
0.005,128,class_weight,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9294354915618896,0.1860787570476532,0.9239130616188049,0.20224574208259583,"<a href=""imgs/61.jpg"" data-lightbox=""train""><img src=""imgs/61.jpg"" width=""75px""></a>"
0.005,128,class_weight,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9314516186714172,0.18521182239055634,0.9130434989929199,0.22736336290836334,"<a href=""imgs/62.jpg"" data-lightbox=""train""><img src=""imgs/62.jpg"" width=""75px""></a>"
0.005,128,class_weight,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.2240268588066101,0.9094203114509583,0.2341858446598053,"<a href=""imgs/63.jpg"" data-lightbox=""train""><img src=""imgs/63.jpg"" width=""75px""></a>"
0.005,128,class_weight,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9233871102333069,0.17649424076080322,0.9275362491607666,0.1981569081544876,"<a href=""imgs/64.jpg"" data-lightbox=""train""><img src=""imgs/64.jpg"" width=""75px""></a>"
0.005,128,class_weight,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9334677457809448,0.181185781955719,0.9239130616188049,0.273661345243454,"<a href=""imgs/65.jpg"" data-lightbox=""train""><img src=""imgs/65.jpg"" width=""75px""></a>"
0.005,128,class_weight,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9153226017951965,0.21394376456737518,0.9130434989929199,0.2554588317871094,"<a href=""imgs/66.jpg"" data-lightbox=""train""><img src=""imgs/66.jpg"" width=""75px""></a>"
0.005,128,class_weight,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.1800086349248886,0.9166666865348816,0.2243817299604416,"<a href=""imgs/67.jpg"" data-lightbox=""train""><img src=""imgs/67.jpg"" width=""75px""></a>"
0.005,128,class_weight,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9314516186714172,0.17701376974582672,0.9202898740768433,0.1999223679304123,"<a href=""imgs/68.jpg"" data-lightbox=""train""><img src=""imgs/68.jpg"" width=""75px""></a>"
0.005,128,class_weight,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9193548560142517,0.22825787961483002,0.8913043737411499,0.2442750781774521,"<a href=""imgs/69.jpg"" data-lightbox=""train""><img src=""imgs/69.jpg"" width=""75px""></a>"
0.005,128,class_weight,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9274193644523621,0.17937296628952026,0.9239130616188049,0.20552724599838257,"<a href=""imgs/70.jpg"" data-lightbox=""train""><img src=""imgs/70.jpg"" width=""75px""></a>"
0.005,128,class_weight,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9395161271095276,0.170921191573143,0.9094203114509583,0.26559096574783325,"<a href=""imgs/71.jpg"" data-lightbox=""train""><img src=""imgs/71.jpg"" width=""75px""></a>"
0.005,128,class_weight,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9233871102333069,0.21137824654579163,0.8985507488250732,0.23741716146469116,"<a href=""imgs/72.jpg"" data-lightbox=""train""><img src=""imgs/72.jpg"" width=""75px""></a>"
0.005,192,oversample,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9294354915618896,0.2114361822605133,0.9239130616188049,0.19514107704162598,"<a href=""imgs/73.jpg"" data-lightbox=""train""><img src=""imgs/73.jpg"" width=""75px""></a>"
0.005,192,oversample,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.1835101693868637,0.9202898740768433,0.20757965743541718,"<a href=""imgs/74.jpg"" data-lightbox=""train""><img src=""imgs/74.jpg"" width=""75px""></a>"
0.005,192,oversample,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9294354915618896,0.211624413728714,0.9311594367027283,0.20857267081737518,"<a href=""imgs/75.jpg"" data-lightbox=""train""><img src=""imgs/75.jpg"" width=""75px""></a>"
